Episodes,AmountOfSteps,Rewards
440,99.0,0.0
441,99.0,0.0
442,99.0,0.0
443,22.0,1.0
444,6.0,1.0
445,28.0,1.0
446,99.0,0.0
447,99.0,0.0
448,25.0,1.0
449,10.0,1.0
450,1.0,1.0
451,99.0,0.0
452,1.0,1.0
453,99.0,0.0
454,99.0,0.0
455,99.0,0.0
456,99.0,0.0
457,14.0,1.0
458,16.0,1.0
459,9.0,1.0
460,99.0,0.0
461,8.0,1.0
462,2.0,1.0
463,99.0,0.0
464,2.0,1.0
465,6.0,1.0
466,99.0,0.0
467,15.0,1.0
468,99.0,0.0
469,26.0,1.0
470,8.0,1.0
471,28.0,1.0
472,2.0,1.0
473,5.0,1.0
474,17.0,1.0
475,99.0,0.0
476,16.0,1.0
477,12.0,1.0
478,13.0,1.0
479,99.0,0.0
480,99.0,0.0
481,99.0,0.0
482,24.0,1.0
483,21.0,1.0
484,1.0,1.0
485,31.0,1.0
486,1.0,1.0
487,9.0,1.0
488,5.0,1.0
489,93.0,1.0
490,17.0,1.0
491,19.0,1.0
492,99.0,0.0
493,2.0,1.0
494,18.0,1.0
495,42.0,1.0
496,9.0,1.0
497,5.0,1.0
498,2.0,1.0
499,99.0,1.0
