Episodes,AmountOfSteps,Rewards
428,64.0,1.0
429,38.0,1.0
430,64.0,1.0
431,2.0,1.0
432,23.0,1.0
433,99.0,0.0
434,99.0,0.0
435,99.0,0.0
436,99.0,0.0
437,99.0,0.0
438,99.0,0.0
439,32.0,1.0
440,6.0,1.0
441,99.0,0.0
442,86.0,1.0
443,55.0,1.0
444,99.0,0.0
445,79.0,1.0
446,46.0,1.0
447,52.0,1.0
448,95.0,1.0
449,80.0,1.0
450,24.0,1.0
451,27.0,1.0
452,99.0,0.0
453,36.0,1.0
454,99.0,0.0
455,99.0,0.0
456,6.0,1.0
457,6.0,1.0
458,17.0,1.0
459,11.0,1.0
460,99.0,0.0
461,99.0,0.0
462,48.0,1.0
463,99.0,0.0
464,99.0,0.0
465,99.0,0.0
466,33.0,1.0
467,99.0,0.0
468,27.0,1.0
469,19.0,1.0
470,99.0,0.0
471,20.0,1.0
472,99.0,0.0
473,5.0,1.0
474,43.0,1.0
475,99.0,0.0
476,6.0,1.0
477,11.0,1.0
478,99.0,0.0
479,73.0,1.0
480,99.0,0.0
481,99.0,0.0
482,6.0,1.0
483,11.0,1.0
484,4.0,1.0
485,6.0,1.0
486,99.0,0.0
487,99.0,0.0
488,18.0,1.0
489,4.0,1.0
490,7.0,1.0
491,99.0,0.0
492,17.0,1.0
493,99.0,0.0
494,32.0,1.0
495,99.0,0.0
496,3.0,1.0
497,97.0,1.0
498,99.0,0.0
499,11.0,1.0
